stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,43.86,0,0,0,1.07,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,0,0,0,1.34,29.45,2.68,1.34,0,0,1.34,0
3Month,0,0.32,0.32,0,0.32,0.64,0,0,0.32,0.32,0,0,0,0,0,0.64,0.96,0,0,0
22Month,1.09,0.55,0,0,0,9.29,0.55,0.55,1.09,0.55,1.64,0.55,0,0,0,0,0,0,0,0.55
