stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,8.17,0,0,0,0,4.09,0,0,0,0,0,8.17,4.09,32.69,0,0,0,0,12.26,281.96,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,7.49,0,8.56,2.14,1.07,0,0,0,0,0,1.07,0,0,4.28,0,12.84,0,1.07,1.07,0,95.21,35.3,2.14,0,6.42,0,0,5.35,1.07,1.07,1.07,0,0,0
21Day,5.35,0,1.34,2.68,0,0,0,0,1.34,0,2.68,0,1.34,8.03,1.34,18.74,0,0,1.34,0,46.85,16.06,1.34,0,8.03,2.68,0,5.35,0,0,0,0,0,0
3Month,0,0.96,6.72,0,0.32,1.92,0.64,0,7.68,0.96,0,7.04,0.64,3.84,1.28,4.8,0,0,0,1.6,0.64,0.64,0.32,0.64,0,0,21.76,0,0,0,0,1.6,3.84,2.24
22Month,0,0,1.64,0,0,0.55,0.55,0,15.85,0,0.55,4.92,0,1.09,0,2.19,0.55,0.55,0,0.55,1.64,0.55,0.55,0.55,0,0,5.47,0.55,0,0,0,0,0,1.09
