stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,24.52,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,12.05,0,0,0,0,0,0,5.35,0,0,0,0,0,0,2.68,0,0,0,2.68,0,1.34,1.34,1.34,0,0,0,0
3Month,0.32,19.2,0,0.96,1.28,1.28,0.32,3.52,0.64,0,0.64,0.32,0.32,0.32,1.92,0,0,0.32,0,0,0.32,5.44,0,0,0,0.32,0.64,0.64
22Month,0,50.84,0.55,1.09,5.47,0,0.55,1.09,0.55,1.64,2.73,1.09,0,1.09,0,0.55,0,0,0.55,0,0,13.67,1.09,0,0,0.55,0,1.09
