stage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Osteoblast,T_cell
72hpf,0,18.19,1.07,1.07,0
21Day,0,1.34,0,0,0
3Month,0.32,0.96,0,0,0.32
