stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,16.3456182914007,0,0,4.08640457285017,0,0,0,0,0,0,0,0,0,0,0,4.08640457285017,0,20.4320228642509,4.08640457285017,0,0,0,4.08640457285017,28.6048320099512,237.01146522531,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.13958228293216,0,0,2.13958228293216,0,0,0,0,0,0,0,0,0,0,0,8.55832913172862,1.06979114146608,0,3.20937342439823,0,1.06979114146608,0,2.13958228293216,14.9770759805251,9.6281202731947,1.06979114146608,0,0,4.27916456586431,0,0,0,0,0,0,0
21Day,13.3853308820331,4.01559926460992,0,24.0935955876595,2.67706617640661,1.33853308820331,0,1.33853308820331,0,0,0,5.35413235281323,0,1.33853308820331,1.33853308820331,2.67706617640661,10.7082647056265,2.67706617640661,14.7238639702364,0,2.67706617640661,4.01559926460992,0,12.0467977938298,8.03119852921984,0,0,0,8.03119852921984,2.67706617640661,0,1.33853308820331,0,0,0,0
3Month,0,0.639898599108391,0.959847898662586,7.99873248885489,0.639898599108391,0,0,0,2.87954369598776,3.19949299554195,0,55.0312795233216,1.91969579732517,0.319949299554195,15.9974649777098,2.55959439643356,3.19949299554195,4.15934089420454,4.15934089420454,0.639898599108391,0,1.59974649777098,2.87954369598776,0,0,1.27979719821678,0.319949299554195,0,0,2.87954369598776,1.91969579732517,0.319949299554195,0,1.27979719821678,0.959847898662586,2.23964509687937
22Month,0,5.46654651197433,3.2799279071846,15.8529848847256,0,0,0.546654651197433,0,3.82658255838203,9.29312907035637,7.10651046556663,101.677765122723,2.18661860478973,0.546654651197433,26.7860779086742,1.09330930239487,1.6399639535923,6.01320116317177,9.29312907035637,0,4.9198918607769,4.9198918607769,0.546654651197433,0.546654651197433,0,2.18661860478973,1.09330930239487,0.546654651197433,0,0.546654651197433,1.09330930239487,1.09330930239487,1.09330930239487,0.546654651197433,0,0.546654651197433
