stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,4.09,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,3.21,0,0,0,0,0,0,0,3.21,0,0,9.63,0,0,0,3.21,3.21,1.07,0,3.21,0,0,0,0,0,0
21Day,1.34,2.68,1.34,4.02,0,0,0,0,0,0,4.02,1.34,0,0,4.02,0,2.68,0,0,0,1.34,0,1.34,0,0,1.34,2.68,0,0
3Month,0,2.88,0.32,4.8,0,6.4,0.32,0,1.28,0.32,8.64,0.32,0,0.96,1.92,0.32,0,1.28,0,0,0.64,0,0,0,0,0,21.76,0.64,0.32
22Month,0,3.83,7.11,4.37,0.55,9.84,0.55,65.05,4.37,0,62.32,0,0.55,3.83,2.19,0,0.55,0,0,0,1.64,0.55,0,1.09,0.55,0,6.01,0,0
