stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,65.38,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,6.42,2.14,1.07,0,2.14,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0.32,0,1.92,0.64,0.32,0.32,0,0.96,0.32,0,0,0,2.24,0,0.96,9.92
22Month,0,0,0.55,0,2.73,0,3.28,0,0,0,0,0,5.47,0,0,5.47
