stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,79.16,13.91,0,2.14,0,0,0,0
21Day,2.68,0,0,0,1.34,0,0,0,0,0,0,0,0,38.82,2.68,0,1.34,1.34,0,1.34,0
3Month,0,0.32,0.32,0,0,0,0.32,0,0.32,0,0,0.32,0,0,0,0.64,0,0,0.32,0,0.64
22Month,0,0.55,0,1.09,0,9.29,2.19,0.55,0.55,1.09,1.09,0,1.09,0,0,0.55,0,0,0,0,0
