stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,2.68,0,0,0
3Month,0,1.6,0,0,0.32,0.64,0.32,0,6.08,0.96,1.28,0.96,0.96,0.64,0,0,0,0.32,0.32,0.96,24,0,0.64,22.08,0.64
22Month,1.09,2.19,0,0.55,0,0,1.09,1.64,47.01,0.55,2.73,0,1.09,1.64,0.55,1.09,0,0,0.55,1.09,1.64,0.55,0,0,1.09
