stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,2.88,1.28,0.32,0.32,0.32,0.32,0.32,0.32,0,0.32,69.43,0.64,6.72
22Month,0,0.55,0.55,0,0,0,0,0,0,0,13.12,0,0
