stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,74.89,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,1.07,2.14,0,0,0,0,9.63,9.63,0,0,0,0,2.14,0,3.21,0,0,0
21Day,88.34,0,0,2.68,2.68,0,0,0,0,0,0,2.68,2.68,1.34,5.35,4.02,5.35,0,0,0,0,8.03,10.71,0,0,2.68,1.34,0,1.34,0,0,0,2.68
3Month,11.52,0.32,0,2.88,0,0,0,1.92,0,7.36,0.32,0,1.6,0,1.28,1.92,1.28,0,0,0.64,0.64,0,0,0,0,0,8.96,0.32,0,0,0.64,5.12,1.92
22Month,1.64,1.09,0.55,1.64,0,1.09,0.55,2.73,1.09,90.74,1.09,0,4.37,0.55,0,1.64,1.64,0.55,0.55,0.55,0,0.55,0,0.55,0.55,0.55,6.56,0,0,0,0,0,1.09
