stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,11.84,0.32,0.32,0.32,0,0.64,1.6,0.32,0,0,0.32,0.32,0,0.32,0.64,0.32,0.32
22Month,0,3.83,0,1.64,13.67,0.55,1.64,0,0.55,1.64,0.55,0,0,0.55,0,0,0,0
