stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08640457285017,0,4.08640457285017,0,0,0,0,4.08640457285017,53.1232594470523,4.08640457285017,0,8.17280914570035,0,0,0,0,0,0,0,0,0
72hpf,2.13958228293216,1.06979114146608,0,2.13958228293216,1.06979114146608,3.20937342439823,0,0,0,0,0,0,1.06979114146608,0,0,10.6979114146608,0,5.34895570733039,0,0,0,0,792.715235826364,35.3031076683806,0,1.06979114146608,18.1864494049233,0,0,11.7677025561269,0,0,2.13958228293216,0,0,0
21Day,4.01559926460992,0,0,16.0623970584397,0,10.7082647056265,1.33853308820331,0,1.33853308820331,0,1.33853308820331,0,5.35413235281323,1.33853308820331,2.67706617640661,12.0467977938298,6.69266544101654,17.400930146643,0,0,2.67706617640661,0,369.435132344113,9.36973161742315,4.01559926460992,0,6.69266544101654,10.7082647056265,1.33853308820331,6.69266544101654,1.33853308820331,4.01559926460992,1.33853308820331,0,0,1.33853308820331
3Month,0,0,0.319949299554195,4.79923949331293,0,0,0,0.319949299554195,0.639898599108391,0,4.15934089420454,0.639898599108391,0.319949299554195,1.27979719821678,0,2.23964509687937,0.319949299554195,2.23964509687937,1.27979719821678,0,0.319949299554195,0.319949299554195,7.0388845901923,0,0.319949299554195,0.319949299554195,0.319949299554195,0.639898599108391,5.43913809242132,0,0,0,0,0.959847898662586,1.59974649777098,0.639898599108391
22Month,0,0,0.546654651197433,1.09330930239487,0,0,0.546654651197433,0,2.73327325598717,0.546654651197433,15.3063302335281,0,0.546654651197433,1.09330930239487,0,1.09330930239487,1.09330930239487,2.18661860478973,0,1.09330930239487,0,0,16.9462941871204,0,0,0,0,0,8.74647441915893,8.1998197679615,2.18661860478973,0,0,1.09330930239487,0,1.09330930239487
