stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,143.02,0,0,0,0,0,0,0
72hpf,5.35,1.07,2.14,0,0,0,0,4.28,2.14,3.21,0,151.91,37.44,0,6.42,0,3.21,0,1.07,0
21Day,0,2.68,0,1.34,0,0,1.34,0,0,10.71,1.34,46.85,6.69,0,2.68,2.68,0,2.68,0,0
3Month,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,1.09,0.55,0,0,1.09,0,0,0.55,0.55,0,0,0,0,0,0
