stage,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,12.26,0,0,0
72hpf,2.14,1.07,0,0,0,1.07,2.14,0,6.42,0,2.14,0,0
21Day,0,1.34,0,0,1.34,0,1.34,1.34,4.02,0,0,0,1.34
3Month,0.64,0,0,0,0.32,0,0,0,0,0,0,0.96,0
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0
