stage,Cardiomyocyte,Endothelial.cell,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Goblet.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell
24hpf,53.1232594470523,4.08640457285017,32.6912365828014,0,0,0,0,0,0,0,4.08640457285017,8.17280914570035,0,98.0737097484042,0,4.08640457285017,24.518427437101,339.171579546564,0,0,0,0,0,0,0,0,0,0
72hpf,21.3958228293216,0,16.0468671219912,1.06979114146608,5.34895570733039,0,0,0,0,0,2.13958228293216,56.6989304977021,4.27916456586431,62.0478862050325,6.41874684879647,0,831.227716919143,149.770759805251,0,1.06979114146608,34.2333165269145,0,0,33.1635253854484,1.06979114146608,0,0,0
21Day,10.7082647056265,1.33853308820331,16.0623970584397,0,6.69266544101654,0,0,0,2.67706617640661,0,0,9.36973161742315,0,66.9266544101654,17.400930146643,0,60.2339889691488,16.0623970584397,0,0,5.35413235281323,1.33853308820331,0,2.67706617640661,1.33853308820331,2.67706617640661,1.33853308820331,0
3Month,0,0,9.27852968707167,0,0,0.319949299554195,1.59974649777098,0.639898599108391,0,1.91969579732517,0,2.87954369598776,0.639898599108391,3.51944229509615,1.59974649777098,0,0,0,0.639898599108391,0.319949299554195,0,0,0.319949299554195,0,0,0,0,0.639898599108391
22Month,0,0,0.546654651197433,0,0,0.546654651197433,1.6399639535923,0,0,0,0,0,0.546654651197433,1.09330930239487,0.546654651197433,0,0,0,1.09330930239487,0.546654651197433,0,0,0,0,0,0,0,0
