stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,1.07,0,0,0,0,0,0,1.07,0,8.56,19.26,10.7,0,0,0,0,0,0,0
21Day,1.34,0,5.35,0,1.34,0,0,0,0,0,0,1.34,1.34,4.02,0,1.34,120.47,10.71,0,0,2.68,0,1.34,1.34,1.34
3Month,0,0.32,1.28,0.32,0,0,0.32,0.32,0,1.28,0.32,0,0.64,0,0,0.96,11.52,0,0,0,0,0.64,0,0,0
22Month,0,0,0,0,0,1.09,0,0,1.09,6.56,0,0,1.64,0.55,0.55,1.09,11.48,0,0,0.55,0,3.28,0,0,0
