stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,0,1.07,0,0,0,0,0,0,2.14,0,0,2.14,0,0,128.37,13.91,0,0,3.21,1.07,0,0,3.21,12.84,0,0,0
21Day,2.68,0,2.68,16.06,0,13.39,2.68,0,2.68,2.68,0,1.34,4.02,4.02,2.68,24.09,0,0,365.42,10.71,0,0,6.69,12.05,4.02,5.35,14.72,84.33,10.71,0,1.34
3Month,0,0.32,0.96,3.52,0,0,0,0.96,0.32,7.68,0.96,3.52,0,0.64,0.64,5.44,0,0.64,5.76,0,0.32,0.32,0.32,1.92,81.27,0.96,0,0,0,2.24,0.64
22Month,0,0.55,2.19,1.09,0.55,0,0,0.55,1.09,38.81,1.09,4.92,0,0.55,1.64,5.47,0.55,0,6.56,0,1.64,0.55,0.55,1.09,36.08,3.28,0,0,0,0,1.09
