stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,2.14,0,0,0,0,0,0,0,1.07,0,2.14,2.14,0,2.14,0,0,0,175.45,8.56,0,0,4.28,0,0,0,281.36,75.96,65.26,0,0
21Day,2.68,0,0,6.69,1.34,18.74,0,2.68,1.34,0,0,4.02,0,0,9.37,2.68,6.69,5.35,10.71,0,0,2.68,30.79,2.68,0,1.34,6.69,5.35,0,0,285.11,26.77,136.53,0,0
3Month,0,0.64,11.84,19.52,0,0,0.96,0,6.72,0.96,0,13.76,2.56,0.96,150.38,7.36,2.56,21.44,2.56,0.64,0,0,0.96,0,0,0.32,0,3.52,1.92,0,2.88,0,4.16,5.12,1.6
22Month,0.55,0,18.04,8.2,0,0,1.09,1.09,15.31,1.09,0.55,247.09,2.19,0.55,332.91,2.19,0.55,3.83,3.83,0.55,10.39,0.55,0,0,0.55,1.09,0,2.73,0.55,0.55,66.15,0,0.55,0.55,0.55
