stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.32,0.32,0,3.84,0,0.32,1.6,1.28,0.64,0,8.64,0,17.28,0,0,0,0.96,0.32,0,0.32,0,0.32,16
22Month,0,0.55,1.09,2.73,0.55,1.64,7.11,10.93,1.64,1.64,17.49,1.09,15.85,1.09,0.55,1.09,0,0.55,0.55,0,1.09,0,11.48
