stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,1.34
3Month,0.64,0.32,1.92,0.32,0.96,0.32,0.32,5.76,1.92,0.64,2.24,0.64,1.6,0.64,1.28,0,1.28,0.64,0.32,0,0,0.96,195.81,0.32,0.64,72.31,3.52
22Month,0,0,0.55,0,1.09,0.55,0.55,1.64,0,0,1.09,0,0,0,0.55,0.55,0,0.55,0,47.56,0.55,0,59.04,0.55,0,0.55,0.55
