stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,8.17,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,103.77,29.95,1.07,1.07,3.21,0,12.84,0,0,0,0,0,0
21Day,2.68,0,1.34,4.02,1.34,0,0,0,0,0,0,0,0,0,4.02,1.34,8.03,0,0,58.9,10.71,0,0,4.02,0,16.06,1.34,4.02,0,0,0,1.34
3Month,0,1.28,0.64,0,0,0,0.64,0.32,0,2.88,1.6,0,0.32,0,0.64,0.96,3.84,0.64,0.32,2.24,0.64,0,1.28,0,0,0.32,0,0,0.32,0.96,2.88,0.64
22Month,0,0,1.64,0,0,0.55,0,1.09,0.55,10.93,0,1.09,1.64,0,1.09,0.55,4.92,0,0.55,3.83,1.09,0,0,0,0.55,1.64,0,0,0,0,0.55,0.55
