stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,16.35,8.17,28.6,12.26,0,0,8.17,0,0,0,0,20.43,0,12.26,36.78,0,0,0,44.95,4576.77,0,0,4.09,0,0,0,0,183.89,0
72hpf,14.98,1.07,9.63,0,7.49,1.07,0,0,0,0,0,0,11.77,1.07,12.84,0,1.07,0,174.38,679.32,0,2.14,17.12,0,0,160.47,0,63.12,0
21Day,5.35,2.68,4.02,1.34,13.39,1.34,0,1.34,0,4.02,0,1.34,0,1.34,9.37,0,4.02,1.34,66.93,551.48,1.34,0,13.39,18.74,0,124.48,4.02,54.88,0
3Month,0,0,0.32,0,0,0,0,0.32,1.6,0,0,0,0,0,0,0.32,0,0,0.96,0,0,0.32,0,0,1.28,1.6,0,0.64,0.32
22Month,0,0,0,0,0,0,0,2.73,0,0,0.55,0,0,0,0.55,0,0,0,0.55,0.55,0,0,0,0,3.83,3.83,0,0,0
