stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,1.07,4.28,1.07,3.21,0,1.07,14.98,4.28,3.21,0,0,3.21,0,0
21Day,2.68,9.37,1.34,0,0,0,0,0,0,0,0,4.02,1.34,10.71,0,0,9.37,2.68,2.68,2.68,0,1.34,0,0
3Month,1.28,1.6,0,0.32,0.32,0.64,3.52,0.32,0,0.32,0,1.92,0,2.56,0,0.32,0.32,0,0,0.32,0.64,0,3.52,0.32
22Month,2.73,1.09,0,0,0,1.64,16.4,0,0.55,0,0,0,0,4.92,0.55,0.55,0,0,0,0,0,0.55,0,0
