stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,5.35,0,0,0,0,0,0,0,2.14,0,0,5.35,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,8.96,0,0,0.32,1.6,0.32,0.64,0.32,0.32,0.64,0,0,0,0.32,0.32,1.28,0
22Month,0.55,2.73,1.09,1.64,0.55,3.28,0,0.55,0,0,0,0.55,0,0,0,0,0,0.55
