stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,0,0,36.78,0
72hpf,0,1.07,2.14,1.07,0,0,0
21Day,0,0,0,0,2.68,0,1.34
