stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,32.69,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,4.28,1.07,0,0,1.07,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0.32,1.28,0,3.84,0.64,0.32,0.32,0.96,0.64,0,0,0,0,0.32,2.24,0,0.64,0.32
22Month,0,0.55,0,0,0.55,4.37,0,0,1.09,0,0,0.55,0.55,0,0,0,0,0,0,0.55
