stage,Endothelial_cell,Enterocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,2.14,1.07,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.64,0.96,0.32,0.32,0,0,0.64,0,0.32,0.32
22Month,1.09,0.55,0,3.83,0,0.55,0,0,0,0,0,0,0
