stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,4.09,0,0,0,0,0,4.09,4.09,0,16.35,44.95,0,0
72hpf,0,0,1.07,0,0,0,5.35,0,2.14,0,1.07,9.63,1.07,1.07
21Day,6.69,17.4,0,1.34,2.68,1.34,1.34,0,16.06,1.34,5.35,14.72,5.35,1.34
