stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,37.48
3Month,0,7.36,12.48,6.4,1.6,6.4,8,5.44,0.96,11.84,5.76,12.8,10.56,0.64,0.32,0,1.6,1.28,0.32,1.6,0,0,0.32,1.6,7.04,0,1.92,1.92,821.63
22Month,0.55,3.28,10.93,0.55,1.09,13.67,27.88,1.64,19.13,6.56,7.65,623.19,2.73,1.09,0.55,0.55,0,0,0,4.37,1.09,1.64,0,0.55,2.73,0,0.55,0,200.08
