stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,12.26,0,0,0,0,0,0,0,314.65,4.09,0,0,0,0,0,8.17,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,9.63,0,0,0,2.14,0,0,1.07,0,2.14,0,0,1.07,0,4.28,0,0,0,3.21,0,0,0,1.07,0,0,0
21Day,1.34,0,2.68,0,1.34,26.77,0,1.34,0,42.83,0,0,5.35,2.68,6.69,0,0,5.35,0,1.34,0,0,0,1.34,0,0,0,0,0,0,82.99
3Month,0.32,1.92,3.2,2.56,0,65.91,0.32,11.52,3.52,5.76,1.6,0.32,2.24,4.48,12.8,2.88,0,0.32,0.96,0.32,0,0.32,0,0.32,0.32,4.48,0,0,0.96,1.28,188.45
22Month,1.09,2.19,3.28,1.64,0,16.95,15.85,7.65,1.09,2.19,0.55,0,0,7.11,8.75,0,1.09,0.55,0,0,0,0,2.19,0.55,0.55,0.55,0.55,0,0.55,0,118.62
