stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,49.04,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,4.28,16.05,1.07,5.35,0,0,16.05,0
21Day,0,0,0,0,0,0,0,0,1.34,1.34,12.05,1.34,1.34,1.34,0,13.39,0
3Month,0,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0
22Month,0.55,0.55,0,0.55,3.83,0,0,0.55,0.55,0,0,0.55,0,0,0.55,0,0.55
