stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.42,1.07,0,0,0,0,0,0
21Day,0,0,18.74,1.34,0,0,0,0,1.34,2.68,0,0,1.34,0,0,1.34,0,109.76,5.35,0,0,0,0,0,0
3Month,0,0.32,38.39,0,0.32,0.32,1.6,0.96,0,0.96,0,1.6,0.64,0.32,0,0.32,22.08,1.92,0,0,0.96,7.68,0.32,0.64,0
22Month,1.64,0,248.18,0,4.37,2.73,34.44,4.37,0,1.64,2.19,6.01,1.09,0,3.28,0.55,0.55,3.83,1.09,0.55,0.55,19.68,0,0,0.55
