stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Fibroblast,Hepatocyte,Ionocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,2.14,0,0,0,0,0,2.14,0,0,0,3.21,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0.32,0,0.32,0.32,0,0,0,0.96,0,1.6
22Month,0,0.55,0,0.55,0,0,0,0,0,1.09,0,0
