stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,59.91,0,0,0,0,1.07,16.05,0,0
21Day,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,24.09,1.34,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0.32,0,0,0,0.32,0,0.32,0,0.64,0.96,13.12,0,0.96,0.32,16.64,0,0,0.32,0.32
22Month,0,0.55,0,0,14.21,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
