stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,735.55,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,81.73,0,0,4.09,93.99,294.22,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,5.35,133.72,2.14,2.14,0,0,0,0,0,0,0,0,1.07,27.81,0,24.61,0,0,0,295.26,101.63,0,0,19.26,0,0,2.14,0,0,0,0,0
21Day,1.34,72.28,0,6.69,1.34,0,0,0,1.34,0,4.02,0,0,28.11,1.34,101.73,0,2.68,0,141.88,70.94,0,0,16.06,21.42,0,2.68,2.68,2.68,0,0,1.34
3Month,0,15.68,0,0,0,0.64,0.32,0.32,2.88,0.32,0,1.6,0.32,19.52,0.64,51.83,0,0.32,0.64,0.32,1.6,0.64,0.32,0.32,0,2.56,0,0,0,0.64,2.24,1.28
22Month,0,4.37,0,0,0,0,0.55,0,13.12,0.55,0.55,0,0,3.28,0.55,9.84,1.64,1.09,0,0.55,0,0,0,0,0,3.83,0,0,0,0,0,0.55
