stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,4.28,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,2.68,0,0,0,1.34,0,0,0,0,0,2.68,0,0,0,0,0,2.68,1.34,0,0,0,1.34,0,0,0,0,1.34
3Month,0.64,0.64,6.72,0,0,0,0.64,0.32,3.84,0.32,0,2.24,2.24,7.04,0.64,0.32,0,0.32,4.16,0.64,0,0,0.32,0,0.96,17.28,0.32,0.32,135.66,0.32
22Month,0,0,4.37,0,0,0.55,0,0.55,10.93,0,1.09,1.09,1.64,2.73,0.55,4.92,1.09,0,0,0,0.55,1.09,0,0.55,0,13.67,0,0,1.09,0
