stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,130.76,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,6.42,2.14,3.21,3.21,2.14,0,0,0,0,0,0,0,0,0,4.28,6.42,1.07,16.05,0,1.07,1.07,0,10.7,22.47,0,0,0,16.05,1.07,0,4.28,0,0,0,0
21Day,16.06,2.68,16.06,0,5.35,0,5.35,0,1.34,0,0,0,2.68,1.34,6.69,2.68,0,17.4,0,0,0,0,4.02,10.71,1.34,0,0,17.4,1.34,1.34,5.35,1.34,0,0,0
3Month,0.32,2.88,31.04,0.32,0,0.32,0.32,1.6,2.88,0,25.28,0.96,0.96,1.28,5.12,9.28,1.92,9.6,1.6,0,1.92,0.64,0.32,0.64,0,0.32,0,0.32,0.96,13.44,0,0,2.88,0.64,0
22Month,0.55,2.73,11.48,0.55,0,0,0.55,2.19,1.09,2.19,56.31,1.09,2.73,4.37,1.09,0.55,2.73,9.84,0,1.09,2.19,0,0.55,0.55,1.64,0,0.55,0,1.09,1.09,0.55,0,0.55,0,0.55
