stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,81.73,0,0,0,0,0,0,0,0,0,0,8.17,8.17,53.12,49.04,0,0,0,0,4.09,171.63,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,2.14,6.42,3.21,5.35,0,0,0,0,4.28,10.7,0,0,0,1.07,0,0,0,0,0,3.21,0,0,0
21Day,4.02,0,0,6.69,1.34,4.02,0,0,0,8.03,1.34,0,16.06,0,0,4.02,12.05,14.72,0,0,1.34,0,5.35,1.34,0,0,0,5.35,2.68,0,5.35,0,1.34,0,0,0,25.43
3Month,0,1.92,0.64,6.08,0,0,0.96,0.64,2.24,14.72,7.04,15.04,4.8,5.12,3.2,1.6,22.08,2.88,0.32,0,1.92,0.32,0,0,0.32,0.32,0,0.32,0.96,0.32,105.9,0.64,0,0,0.64,3.2,74.55
22Month,0,1.64,0,1.09,0,0,0,0.55,0.55,36.63,13.67,6.56,7.11,0,0,1.09,57.4,2.19,0,0.55,0,0,1.09,0,0.55,0,1.09,0,0.55,0,30.61,1.09,1.64,0,0,0,44.83
