stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,2.68,1.34,0,0,0,0,0,0,5.35,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,15.04,15.04,0,1.92,2.88,0.64,1.92,1.6,0.32,1.6,3.84,6.72,3.84,1.28,0.32,0,0,1.28,0,0.96,0,0,0.32,1.92,0.32,0.64,2.24,4.48
22Month,22.96,16.95,0.55,1.09,1.64,3.28,43.73,3.83,7.11,1.64,2.73,0.55,3.83,0.55,0,0.55,5.47,0.55,1.09,2.19,2.19,0,0.55,0,1.64,0.55,0,2.19
