stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,183.89,257.44,1605.96,8.17,8.17,0,0,164171.3,0,4.09,28.6,106.25,453.59,183.89,572.1,0,0,0,0,907.18,7907.19,4.09,0,69.47,0,0,0,12.26,0
72hpf,24.61,2.14,2213.4,2.14,10.7,18.19,0,286.7,0,0,0,10.7,111.26,3.21,42.79,0,7.49,1.07,0,227.87,65.26,1.07,0,27.81,0,14.98,3.21,3.21,0
21Day,2.68,4.02,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.34,0,0,0,1.34,0,0,1.34,5.35,1.34,0,0,0,0
3Month,0,0,0.64,0,0,0,0,0,0.32,0,0.64,0,0,0,0,0,0,0.32,0,0,0,0,0,0,2.24,0,0,0,1.28
22Month,0,0,0.55,0,0,0,0.55,0,1.09,0.55,14.76,0,0,0,0,0,0,0,1.64,0,0,1.09,0,0,2.73,0,0,0,0
