stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,2.24,0,0.32,0.32,1.6,0.32,0.64,0.32,0.96,0.64,0.32,0.64,0.32,22.72,13.44,0.64
22Month,0,0.55,0,0,0,0,2.73,0,0.55,0,0,0,0,0,0,3.28,0,0
