stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,89.86,0,0,0,0,0,0,2.14,5.35,2.14,1.07,0,0,10.7,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,4.02,113.78,1.34,0,0,0,4.02,0,0,5.35,0,0,8.03,0,1.34,0,0,0,2.68,0,1.34,0,0,1.34
3Month,0,0,0.96,1.6,10.88,0,0,4.8,0.32,0,0,0.32,0.32,0,0.64,0,0.32,0.32,0,0.32,0,0,5.44,0,0.32,0.32,0
22Month,0,0.55,0,2.73,1.64,0,0.55,9.29,0,0.55,0.55,0,0,0,0,1.09,0,0,0,0,0,0,4.37,0,0,0,0
