stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,0,0,0,0,0,0,0,0,0,3.21,0,0,0,6.42,6.42,0,1.07,0,0,1.07,0
21Day,5.35,0,4.02,6.69,1.34,2.68,0,0,1.34,0,4.02,0,2.68,8.03,4.02,0,1.34,5.35,2.68,0,6.69,0,1.34,0,2.68
3Month,0,0,0,0,0,0,0,0.32,0,0,0.64,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0,2.19,3.28,4.37,0,0,1.09,2.73,4.92,1.09,18.59,0.55,4.92,0,2.73,7.65,0,0,0,0.55,0,0.55,0,0,0
