stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,4.09,0,429.07,24.52,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,3.21,0,77.02,6.42,2.14,0,0,1.07,4.28,0,0
21Day,0,0,5.35,1.34,0,0,0,1.34,4.02,2.68,0,53.54,2.68,4.02,2.68,0,0,0,0,1.34
3Month,0,0.32,0,0,0,0,0,0,0,0.64,0.64,0.64,0,0,0,0.32,0,0,0.32,0
22Month,0,0,1.09,0,0.55,3.28,0.55,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0
