stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,0,0,0,0,0,0,0,4.28,0,4.28,0,2.14,1.07,0,0,0,0,0,0,0
21Day,1.34,0,9.37,16.06,12.05,0,0,0,0,2.68,0,4.02,8.03,2.68,12.05,1.34,8.03,6.69,4.02,2.68,0,0,1.34,0,2.68
3Month,0,0,1.6,0,0,0.32,0,0,0.32,0,0,0,0.32,0.64,0.32,0,0,0,0,0,0.32,0,0,0.32,0.32
22Month,0,0.55,2.19,0,0,0,0.55,2.19,1.09,1.09,0.55,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,1.09
