stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,1.07,1.07,0
3Month,0.32,1.6,0.32,0.64,0.64,0,0.32,0,0,1.28
22Month,0,4.92,0,0,0,0,0,0,0,0
