stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,0,131.58,0,0,0,0,4.28,1.07,0,0,0,0
21Day,0,0,50.86,1.34,0,0,4.02,0,1.34,285.11,0,1.34,1.34,0,2.68,0,0,1.34,1.34,0
3Month,0,0.32,63.03,0,0.64,0.96,0,0.32,1.6,0.64,0.32,0.32,0,0.32,0,0,0.32,0,0,0.32
22Month,0,0,3.83,0,1.09,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
