stage,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0,0,12.84,1.07
21Day,0,0,13.39,6.69,0
3Month,0.32,0.64,0.32,0,0
