stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,20.43,0,0,0,196.15,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,1.07,0,1.07,5.35,0,6.42,0,0,197.91,20.33,0,0,8.56,0,0,1.07,16.05,13.91,2.14,0,0,0
21Day,6.69,0,0,14.72,1.34,1.34,0,0,0,0,0,0,1.34,0,4.02,0,1.34,2.68,1.34,5.35,1.34,0,38.82,14.72,0,0,2.68,1.34,2.68,2.68,25.43,62.91,17.4,0,0,0
3Month,0,0,0,2.56,0.64,0,0.32,0,0.64,0.64,0,0,3.2,0.64,0.32,1.28,2.24,0.32,0.64,1.6,0.64,5.76,1.28,0.64,0,0.32,0.32,1.28,23.68,0.32,0,0,2.24,0.64,3.52,0.64
22Month,0,1.09,2.19,3.83,0,0,0,0.55,0.55,0.55,1.09,0,8.75,0.55,0,3.28,1.09,0.55,1.09,0.55,0.55,0,1.64,0,1.09,0.55,0,0,21.87,1.09,7.11,0,0,0,0,0
