stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,4.09,220.67,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,4.28,14.98,0,0,2.14,0,0,3.21,1.07,0,0,0
21Day,1.34,0,0,4.02,1.34,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0,1.34,2.68,0,0,1.34,0,1.34,2.68,1.34,0,0,0
3Month,0.32,0.96,0.32,23.68,0.96,0,1.28,2.56,0,10.24,5.76,0,3.84,39.35,1.28,3.52,3.52,0.96,2.24,3.2,19.84,0.64,3.52,0.32,0,0.64,13.12,0.32,0.32,1.28,356.74,5.44
22Month,0.55,0.55,1.09,2.73,0,0.55,0,4.37,0.55,3.83,0.55,0.55,0,3.83,0,1.09,0,0,0.55,0,7.11,0,1.64,0,0,0,2.73,0.55,0,0,0.55,0.55
