stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,24.52,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,32.69,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,5.35,0,2.14,0,1.07,0,14.98,2.14,2.14,0,9.63,0,0,1.07,0,0,0,0
21Day,4.02,8.03,0,0,1.34,0,2.68,0,0,1.34,0,17.4,0,0,0,8.03,4.02,2.68,0,16.06,0,0,2.68,1.34,0,0,2.68
3Month,0,4.8,4.16,1.92,1.6,1.6,0,6.08,0.32,0.64,1.28,1.28,0.32,3.2,0.64,0.64,0,1.6,0.32,0,0.32,0.32,0.32,0,0.32,0.32,2.24
22Month,0,0.55,0.55,0,2.73,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
