stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,12.84,1.07,0,0,0,0,0,0,0,0,66.33,0,1.07,0,0,0,2.14,0,53.49,0,0,0,0,3.21,0,0
21Day,0,5.35,1.34,0,0,0,0,0,0,0,0,9.37,0,8.03,0,1.34,0,5.35,0,28.11,2.68,0,1.34,1.34,2.68,0,0
3Month,0.64,4.48,0,0.32,0.64,0.96,3.52,0.96,0.32,3.52,0.64,17.92,0.96,4.48,0,0.32,0.64,0,0.32,5.12,0.32,0.64,0,0,0,0.64,0.64
22Month,0,1.64,0,0,0,0,14.21,0.55,0,2.19,0,1.09,0.55,1.09,0.55,0.55,0,0,0,1.09,0,0.55,0,0,0,0,0
