stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
3Month,0.32,0.64,0.32,0.96,0.96,0.96,0.64,1.6,0.32,0,0.32,0.32,0.96,0.64,4.48
