stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,12.84,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,2.68,4.02,1.34,0,0
3Month,0,0.32,0,0,0.32,0.96,0.96,0,0.32,0,0,0.32,0.64
22Month,0.55,0,0,0.55,0.55,8.75,0,1.09,1.09,0,0,0,0
