stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0,0,0.96,0,0,0,0.64,0,0,0.32,0,1.28,0.64,0
22Month,0,1.09,1.09,0.55,9.29,0.55,1.09,0,0,0.55,0.55,0,0.55,1.64,0,0.55
