stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
3Month,0,0.96,4.48,3.2,0.64,1.6,0,9.28,0.64,0.64,2.88,0.64,0.32,0,0,0.32,1.6
22Month,0.55,0.55,1.09,1.09,0.55,10.39,1.09,8.75,0,1.09,0.55,1.64,0,0.55,0.55,0,1.64
