stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,56.7,2.14,0,0,0,0,0,0,0,0,0,13.91,0,0,0,0,0,6.42,3.21,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,36.14,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,4.02,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.64,1.6,1.92,20.8,31.36,0,0.64,0.32,3.52,5.76,39.35,7.36,0,9.92,1.6,3.84,6.08,5.12,0.32,4.16,1.28,1.92,0.64,1.6,2.24,0,0.64,4.48,0.32,31.99,0.64,2.24,1220.29,7.68
22Month,0,0.55,0,0,10.39,0,0,0,1.09,0.55,2.73,0,0.55,0.55,0,0.55,1.09,0.55,0,0,0,0,0,1.09,0,1.64,0,0,0,13.12,0,0,3.28,0
