stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0
72hpf,0,1.07,0,0,0,0,0,2.14,0,0,1.07,2.14,0
21Day,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0.55,0,0,1.09,10.93,0.55,0.55,0.55,0.55,0.55,0,0,0.55
