stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,129.44,1.07,0,0,0,0,0,0,0,0,0,0,1.07,5.35,0,3.21,0,1.07,0,12.84,1.07,1.07,1.07,0,0,0,0,0,0
21Day,45.51,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,6.69,0,0,0,10.71,0,0,1.34,0,0,1.34,0,0,1.34
3Month,1.28,0.32,0.32,3.2,0.32,0,0.32,0.96,0.32,4.48,1.6,2.24,0,0.64,0,2.24,0,1.28,0.32,0,0,0.32,0,21.12,0.32,0,0.32,10.88,0.96
22Month,0,0,0.55,1.64,0,0,0,0,2.19,9.29,0.55,1.09,0,0.55,0.55,0,1.09,0.55,0,0.55,0,0,0,1.09,0,0,0,0,0.55
