stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,98.42,8.56,0,0,21.4,0,0,3.21,0,0,0,0,0
21Day,20.08,1.34,1.34,4.02,9.37,0,0,1.34,0,0,0,0,1.34,1.34,0,9.37,1.34,0,147.24,6.69,0,0,13.39,2.68,0,4.02,2.68,2.68,0,0,1.34
3Month,0,0.32,0,5.12,0,0.32,0.32,0.32,3.52,0.64,0.32,2.56,0.64,1.28,0.64,1.92,0,0.32,0.64,0,0.64,0,0.64,0.32,6.72,0,0,0,0.32,84.15,1.28
22Month,0,0,0.55,2.73,0,0,0,1.09,16.4,0,0,1.09,0,0,1.09,0.55,0,0,2.19,0,0.55,0.55,0,0,0.55,0.55,0,0,0,0,0.55
