stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,44.95,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,60.98,0,2.14,8.56,2.14,0,0,0,1.07,0,0,0
21Day,0,37.48,1.34,0,0,2.68,1.34,2.68,6.69,0,0,28.11,2.68,4.02,1.34,0,0,1.34,2.68,0,0,0,1.34
3Month,0,30.08,0,0.64,0.32,2.56,1.92,4.8,0.32,0.64,0.96,4.8,0.64,0.32,0.32,0,0.32,0,0.64,0,0.32,0.32,2.56
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
