stage,Epithelial_cell,Hepatocyte,Ionocyte,Macrophage,Neural_progenitor_cell
24hpf,4.09,0,0,0,4.09
72hpf,0,0,1.07,0,0
21Day,2.68,0,0,0,0
22Month,0.55,0.55,0,0.55,0
