stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell
72hpf,0,0,0,0,2.14,1.07,0,0
21Day,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0.32,0.64,0,1.28,0,0.32,0.32
22Month,0,0,1.64,0,0,0,0,0
